,operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name
0,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
1,BSNL,Indoor,2G,3,Poor Voice Quality,,,Not Available
2,BSNL,Indoor,2G,3,Satisfactory,,,Not Available
3,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
4,RJio,Outdoor,4G,4,Satisfactory,18.5197822,73.8561897,Maharashtra
5,RJio,Outdoor,4G,4,Satisfactory,18.5197822,73.8561897,Maharashtra
6,RJio,Outdoor,4G,4,Satisfactory,18.5197514,73.8561817,Maharashtra
7,RJio,Indoor,4G,4,Satisfactory,18.5197899,73.8562155,Maharashtra
8,RJio,Outdoor,4G,4,Satisfactory,18.5197799,73.8562287,Maharashtra
9,RJio,Indoor,4G,4,Satisfactory,18.5197456,73.8561782,Maharashtra
10,RJio,Indoor,4G,4,Satisfactory,18.5197456,73.8561782,Maharashtra
11,BSNL,Outdoor,3G,1,Call Dropped,20.507,79.32958,Maharashtra
12,RJio,Outdoor,4G,5,Satisfactory,20.71860948,77.00966807,Maharashtra
13,RJio,Outdoor,4G,4,Satisfactory,20.71860948,77.00966807,Maharashtra
14,RJio,Outdoor,4G,3,Satisfactory,20.71860948,77.00966807,Maharashtra
15,VI,Indoor,4G,3,Satisfactory,,,Not Available
16,Airtel,Indoor,4G,1,Call Dropped,,,Not Available
17,Airtel,Indoor,4G,1,Call Dropped,,,Not Available
18,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
19,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
20,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
21,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
22,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
23,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
24,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
25,VI,Indoor,4G,1,Call Dropped,,,Not Available
26,VI,Indoor,4G,2,Poor Voice Quality,,,Not Available
27,VI,Indoor,4G,1,Call Dropped,,,Not Available
28,Airtel,Indoor,4G,1,Call Dropped,,,Not Available
29,RJio,Indoor,4G,1,Call Dropped,,,Not Available
30,VI,Indoor,Unknown,4,Satisfactory,21.12309919,79.06786285,Maharashtra
31,VI,Indoor,4G,5,Satisfactory,23.34975457,85.31848706,Jharkhand
32,VI,Indoor,4G,5,Satisfactory,21.12309919,79.06786285,Maharashtra
33,VI,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
34,Airtel,Travelling,4G,5,Satisfactory,,,Not Available
35,RJio,Outdoor,Unknown,3,Poor Voice Quality,,,Not Available
36,VI,Indoor,Unknown,3,Satisfactory,,,Not Available
37,VI,Indoor,Unknown,5,Satisfactory,,,Not Available
38,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
39,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
40,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
41,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
42,RJio,Outdoor,Unknown,4,Satisfactory,,,Not Available
43,Airtel,Travelling,4G,5,Satisfactory,,,Not Available
44,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
45,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
46,RJio,Outdoor,Unknown,5,Satisfactory,,,Not Available
47,Airtel,Travelling,4G,5,Satisfactory,,,Not Available
48,Airtel,Outdoor,4G,1,Call Dropped,,,Not Available
49,Airtel,Outdoor,4G,1,Call Dropped,,,Not Available
50,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
51,RJio,Outdoor,4G,4,Satisfactory,18.5194326,73.8563018,Maharashtra
52,RJio,Outdoor,4G,4,Satisfactory,18.5160206,73.8593624,Maharashtra
53,RJio,Outdoor,Unknown,4,Satisfactory,18.5197552,73.8561769,Maharashtra
54,RJio,Outdoor,4G,4,Satisfactory,18.5197403,73.8561878,Maharashtra
55,VI,Outdoor,4G,5,Satisfactory,19.0999495,82.03936396,Chhattisgarh
56,RJio,Indoor,4G,5,Satisfactory,18.49728804,73.79634597,Maharashtra
57,BSNL,Outdoor,Unknown,1,Poor Voice Quality,,,Not Available
58,BSNL,Outdoor,Unknown,1,Poor Voice Quality,,,Not Available
59,BSNL,Outdoor,Unknown,1,Poor Voice Quality,,,Not Available
60,BSNL,Outdoor,Unknown,1,Poor Voice Quality,,,Not Available
61,RJio,Indoor,4G,4,Satisfactory,,,Not Available
62,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
63,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
